"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"passed","Tue Nov 26 16:36:47 GMT 2024","Tue Nov 26 16:37:03 GMT 2024","16291","Surefire suite","Surefire test","com.example.teamcity.ui.CreateBuildTypeTest","com.example.teamcity.ui.CreateBuildTypeTest","userCreatesBuildType","User should be able to create build type",""
"passed","Tue Nov 26 16:34:40 GMT 2024","Tue Nov 26 16:35:32 GMT 2024","52749","Surefire suite","Surefire test","com.example.teamcity.ui.SetupServerTest","com.example.teamcity.ui.SetupServerTest","setupTeamCityServerTest","setupTeamCityServerTest",""
"passed","Tue Nov 26 16:35:42 GMT 2024","Tue Nov 26 16:36:36 GMT 2024","54007","Surefire suite","Surefire test","com.example.teamcity.ui.CreateProjectTest","com.example.teamcity.ui.CreateProjectTest","userCreatesProject","User should be able to create project",""
"passed","Tue Nov 26 16:37:04 GMT 2024","Tue Nov 26 16:37:14 GMT 2024","10221","Surefire suite","Surefire test","com.example.teamcity.ui.CreateBuildTypeTest","com.example.teamcity.ui.CreateBuildTypeTest","userCreatesProjectWithoutName","User should not na able to create build type without name",""
"passed","Tue Nov 26 16:36:36 GMT 2024","Tue Nov 26 16:36:47 GMT 2024","10314","Surefire suite","Surefire test","com.example.teamcity.ui.CreateProjectTest","com.example.teamcity.ui.CreateProjectTest","userCreatesProjectWithoutName","User should not be able to create project without name",""
