"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"passed","Tue Nov 26 13:45:05 GMT 2024","Tue Nov 26 13:45:57 GMT 2024","51536","Surefire suite","Surefire test","com.example.teamcity.ui.CreateProjectTest","com.example.teamcity.ui.CreateProjectTest","userCreatesProject","User should be able to create project",""
"passed","Tue Nov 26 13:44:06 GMT 2024","Tue Nov 26 13:44:57 GMT 2024","51246","Surefire suite","Surefire test","com.example.teamcity.ui.SetupServerTest","com.example.teamcity.ui.SetupServerTest","setupTeamCityServerTest","setupTeamCityServerTest",""
"passed","Tue Nov 26 13:45:57 GMT 2024","Tue Nov 26 13:46:09 GMT 2024","11681","Surefire suite","Surefire test","com.example.teamcity.ui.CreateProjectTest","com.example.teamcity.ui.CreateProjectTest","userCreatesProjectWithoutName","User should not be able to create project without name",""
"passed","Tue Nov 26 13:46:09 GMT 2024","Tue Nov 26 13:46:24 GMT 2024","14292","Surefire suite","Surefire test","com.example.teamcity.ui.CreateBuildTypeTest","com.example.teamcity.ui.CreateBuildTypeTest","userCreatesBuildType","User should be able to create build type",""
"passed","Tue Nov 26 13:46:24 GMT 2024","Tue Nov 26 13:46:34 GMT 2024","10287","Surefire suite","Surefire test","com.example.teamcity.ui.CreateBuildTypeTest","com.example.teamcity.ui.CreateBuildTypeTest","userCreatesProjectWithoutName","User should not na able to create build type without name",""
