"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"passed","Tue Nov 26 15:14:10 GMT 2024","Tue Nov 26 15:14:22 GMT 2024","11547","Surefire suite","Surefire test","com.example.teamcity.ui.CreateProjectTest","com.example.teamcity.ui.CreateProjectTest","userCreatesProjectWithoutName","User should not be able to create project without name",""
"passed","Tue Nov 26 15:14:22 GMT 2024","Tue Nov 26 15:14:38 GMT 2024","15275","Surefire suite","Surefire test","com.example.teamcity.ui.CreateBuildTypeTest","com.example.teamcity.ui.CreateBuildTypeTest","userCreatesBuildType","User should be able to create build type",""
"passed","Tue Nov 26 15:14:38 GMT 2024","Tue Nov 26 15:14:49 GMT 2024","11475","Surefire suite","Surefire test","com.example.teamcity.ui.CreateBuildTypeTest","com.example.teamcity.ui.CreateBuildTypeTest","userCreatesProjectWithoutName","User should not na able to create build type without name",""
"passed","Tue Nov 26 15:12:16 GMT 2024","Tue Nov 26 15:13:09 GMT 2024","52765","Surefire suite","Surefire test","com.example.teamcity.ui.SetupServerTest","com.example.teamcity.ui.SetupServerTest","setupTeamCityServerTest","setupTeamCityServerTest",""
"failed","Tue Nov 26 15:13:18 GMT 2024","Tue Nov 26 15:14:10 GMT 2024","51931","Surefire suite","Surefire test","com.example.teamcity.ui.CreateProjectTest","com.example.teamcity.ui.CreateProjectTest","userCreatesProject","User should be able to create project",""
