"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"passed","Tue Nov 26 14:05:26 GMT 2024","Tue Nov 26 14:05:37 GMT 2024","11286","Surefire suite","Surefire test","com.example.teamcity.ui.CreateBuildTypeTest","com.example.teamcity.ui.CreateBuildTypeTest","userCreatesProjectWithoutName","User should not na able to create build type without name",""
"passed","Tue Nov 26 14:05:11 GMT 2024","Tue Nov 26 14:05:25 GMT 2024","13757","Surefire suite","Surefire test","com.example.teamcity.ui.CreateBuildTypeTest","com.example.teamcity.ui.CreateBuildTypeTest","userCreatesBuildType","User should be able to create build type",""
"passed","Tue Nov 26 14:04:04 GMT 2024","Tue Nov 26 14:05:00 GMT 2024","56217","Surefire suite","Surefire test","com.example.teamcity.ui.CreateProjectTest","com.example.teamcity.ui.CreateProjectTest","userCreatesProject","User should be able to create project",""
"passed","Tue Nov 26 14:05:00 GMT 2024","Tue Nov 26 14:05:11 GMT 2024","10842","Surefire suite","Surefire test","com.example.teamcity.ui.CreateProjectTest","com.example.teamcity.ui.CreateProjectTest","userCreatesProjectWithoutName","User should not be able to create project without name",""
"passed","Tue Nov 26 14:03:02 GMT 2024","Tue Nov 26 14:03:54 GMT 2024","52500","Surefire suite","Surefire test","com.example.teamcity.ui.SetupServerTest","com.example.teamcity.ui.SetupServerTest","setupTeamCityServerTest","setupTeamCityServerTest",""
