"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"failed","Tue Nov 26 14:34:02 GMT 2024","Tue Nov 26 14:34:54 GMT 2024","52292","Surefire suite","Surefire test","com.example.teamcity.ui.CreateProjectTest","com.example.teamcity.ui.CreateProjectTest","userCreatesProject","User should be able to create project",""
"passed","Tue Nov 26 14:35:07 GMT 2024","Tue Nov 26 14:35:22 GMT 2024","14408","Surefire suite","Surefire test","com.example.teamcity.ui.CreateBuildTypeTest","com.example.teamcity.ui.CreateBuildTypeTest","userCreatesBuildType","User should be able to create build type",""
"passed","Tue Nov 26 14:35:22 GMT 2024","Tue Nov 26 14:35:33 GMT 2024","10891","Surefire suite","Surefire test","com.example.teamcity.ui.CreateBuildTypeTest","com.example.teamcity.ui.CreateBuildTypeTest","userCreatesProjectWithoutName","User should not na able to create build type without name",""
"passed","Tue Nov 26 14:32:59 GMT 2024","Tue Nov 26 14:33:51 GMT 2024","52905","Surefire suite","Surefire test","com.example.teamcity.ui.SetupServerTest","com.example.teamcity.ui.SetupServerTest","setupTeamCityServerTest","setupTeamCityServerTest",""
"passed","Tue Nov 26 14:34:54 GMT 2024","Tue Nov 26 14:35:07 GMT 2024","12551","Surefire suite","Surefire test","com.example.teamcity.ui.CreateProjectTest","com.example.teamcity.ui.CreateProjectTest","userCreatesProjectWithoutName","User should not be able to create project without name",""
