"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"passed","Tue Nov 26 13:29:05 GMT 2024","Tue Nov 26 13:29:16 GMT 2024","10917","Surefire suite","Surefire test","com.example.teamcity.ui.CreateProjectTest","com.example.teamcity.ui.CreateProjectTest","userCreatesProjectWithoutName","User should not be able to create project without name",""
"passed","Tue Nov 26 13:27:15 GMT 2024","Tue Nov 26 13:28:05 GMT 2024","50075","Surefire suite","Surefire test","com.example.teamcity.ui.SetupServerTest","com.example.teamcity.ui.SetupServerTest","setupTeamCityServerTest","setupTeamCityServerTest",""
"passed","Tue Nov 26 13:29:32 GMT 2024","Tue Nov 26 13:29:42 GMT 2024","10269","Surefire suite","Surefire test","com.example.teamcity.ui.CreateBuildTypeTest","com.example.teamcity.ui.CreateBuildTypeTest","userCreatesProjectWithoutName","User should not na able to create build type without name",""
"passed","Tue Nov 26 13:29:16 GMT 2024","Tue Nov 26 13:29:31 GMT 2024","15121","Surefire suite","Surefire test","com.example.teamcity.ui.CreateBuildTypeTest","com.example.teamcity.ui.CreateBuildTypeTest","userCreatesBuildType","User should be able to create build type",""
"failed","Tue Nov 26 13:28:15 GMT 2024","Tue Nov 26 13:29:05 GMT 2024","49794","Surefire suite","Surefire test","com.example.teamcity.ui.CreateProjectTest","com.example.teamcity.ui.CreateProjectTest","userCreatesProject","User should be able to create project",""
